universe,screen_rule,split_id,as_of_date,symbol,rank,score,lookback_start,lookback_end,source_path
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,AVGO,1,0.0865272143759599,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,BMY,2,0.0117713427419849,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,ABBV,3,-0.0075632263377024,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,CAT,4,-0.0295630649040495,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,AMT,5,-0.0314529811689519,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,ABT,6,-0.0513239002238204,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,AMGN,7,-0.051736872520002,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,COP,8,-0.0521908230949409,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,BA,9,-0.0547349789402568,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,0,2019-01-02,CL,10,-0.060120727763942,2018-11-29,2019-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AMD,1,0.2348936365005818,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AAPL,2,0.1129153138790699,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AVGO,3,0.1079647214599848,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AMAT,4,0.0899048052659019,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,ACN,5,0.0826050491781471,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AMZN,6,0.0757904988401487,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,AMT,7,0.0730699247733679,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,ADBE,8,0.0548604975107389,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,ABBV,9,0.0528449084346369,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,1,2019-04-03,CMCSA,10,0.045477471990909,2019-03-05,2019-04-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AAPL,1,0.1378866571433488,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,ADBE,2,0.1376577794954714,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AMZN,3,0.121094388242132,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,CAT,4,0.1106651036628534,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,ABT,5,0.1056026982775266,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AMAT,6,0.1051460349275799,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,BLK,7,0.1023120731297626,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,BKNG,8,0.0988074512166938,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AVGO,9,0.0825039834183085,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,2,2019-07-03,AXP,10,0.0804757661416692,2019-06-04,2019-07-03,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,ABBV,1,0.1029049324296176,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,AAPL,2,0.0644627242081314,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,C,3,0.0447807609132546,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,AMAT,4,0.0388573901679121,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,BA,5,0.0365102239831232,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,BAC,6,0.035988735216385,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,CAT,7,0.0250364894645873,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,BMY,8,0.0243547653984046,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,BK,9,0.0231158749406816,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,3,2019-10-02,COP,10,0.0197925621285639,2019-09-03,2019-10-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AMD,1,0.2677510729267101,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AAPL,2,0.1370001530628903,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,BMY,3,0.1110812723613405,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,ADBE,4,0.1046407685409784,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,BKNG,5,0.1008999238970878,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AMAT,6,0.0970017168956489,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AMT,7,0.095198775721498,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,C,8,0.0900430171457389,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,COP,9,0.0843132925837775,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,4,2020-01-02,AXP,10,0.0769756837667947,2019-12-02,2020-01-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AMZN,1,-0.0288486214049658,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AMGN,2,-0.0289621062382106,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,ABT,3,-0.0322815822926544,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,CAT,4,-0.0836734848519701,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,BMY,5,-0.0945520248037792,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,CL,6,-0.0955287488021014,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AMD,7,-0.1121532401403284,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AMT,8,-0.1228245255937783,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,BLK,9,-0.1388625630156089,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,5,2020-04-02,AVGO,10,-0.1554054879697951,2020-03-04,2020-04-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,AMGN,1,0.1685067885544313,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,AMZN,2,0.1661959451663734,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,ADBE,3,0.1360022490590244,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,AAPL,4,0.1199249361957663,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,ABBV,5,0.087908534207443,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,AMAT,6,0.0551808990658824,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,BA,7,0.0441787579966328,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,ACN,8,0.0407179309306187,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,AVGO,9,0.0296905368983,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,6,2020-07-02,CL,10,0.0227493649130772,2020-06-03,2020-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,COF,1,0.0634295866601022,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,AVGO,2,0.0345453543843898,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,CMCSA,3,0.0308546923876198,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,ABT,4,0.0196152797309492,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,AMGN,5,0.0180578040856804,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,CAT,6,0.0045190314294822,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,AXP,7,-0.0111251678937965,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,BMY,8,-0.0114835357926248,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,CL,9,-0.0131895571027973,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,7,2020-10-01,AMT,10,-0.0189719558688981,2020-09-01,2020-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,C,1,0.1115918397705812,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,COF,2,0.1020067411289187,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,AVGO,3,0.0914819751816338,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,BKNG,4,0.0850598946816825,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,AAPL,5,0.0812415000612074,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,BK,6,0.075519760401798,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,BAC,7,0.063050411453128,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,CAT,8,0.0505596726943549,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,ADBE,9,0.0437650036268881,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,8,2020-12-31,ACN,10,0.0354382589308825,2020-12-01,2020-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,AMAT,1,0.3216002396146158,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,AMT,2,0.2165115614356345,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,BA,3,0.1541986453759338,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,BLK,4,0.1475532850492766,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,ACN,5,0.1381781804644377,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,AMGN,6,0.1356854484816569,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,ADBE,7,0.1197102852704758,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,AVGO,8,0.1098049685337942,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,CAT,9,0.0984161168746635,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,9,2021-04-05,BAC,10,0.0904109433851381,2021-03-04,2021-04-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,ADBE,1,0.2026402029999978,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,AMD,2,0.1796213052841255,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,AAPL,3,0.1329120698513584,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,AMZN,4,0.1016532872988857,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,ACN,5,0.0901550282048351,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,ABT,6,0.080952290317124,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,COP,7,0.0551538224400931,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,AMGN,8,0.0549758294703448,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,AMT,9,0.0411102181385207,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,10,2021-07-02,BMY,10,0.0408113518440484,2021-06-03,2021-07-02,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,COP,1,0.2827077903101154,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,BKNG,2,0.0739096357161397,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,AXP,3,0.0577717136106952,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,BAC,4,0.0512442828012207,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,BA,5,0.0361269258170433,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,COF,6,0.0300594044137669,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,C,7,-0.0018230453440274,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,AVGO,8,-0.0045389533048975,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,BK,9,-0.0272058385292316,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,11,2021-10-01,ABBV,10,-0.0283246345531406,2021-09-01,2021-10-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,AVGO,1,0.2071285629357879,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,ABBV,2,0.1681474389444726,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,BKNG,3,0.1607249697720896,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,ACN,4,0.1510801310179703,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,AMT,5,0.1351717648094472,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,BMY,6,0.1346677471271264,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,CL,7,0.1319805671125558,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,AMGN,8,0.1203684912846458,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,ABT,9,0.1104626192065962,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,12,2021-12-31,AXP,10,0.0902305288489186,2021-12-01,2021-12-31,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,CAT,1,0.1278933825423245,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,BKNG,2,0.1264331958774132,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,AMZN,3,0.1058935633461801,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,AMT,4,0.0922889077322222,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,AVGO,5,0.0909433908435384,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,ABBV,6,0.0815770629000536,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,BMY,7,0.0760340499987255,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,BRK-B,8,0.0736559936771048,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,ACN,9,0.0680041925226673,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,13,2022-04-01,BLK,10,0.0503936004026652,2022-03-03,2022-04-01,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,ABBV,1,0.0489265359575228,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,CL,2,0.021824206641738,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,BMY,3,0.0188841791254286,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,AMGN,4,-0.0062430549503694,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,AMT,5,-0.0186567570236141,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,BA,6,-0.019928847343472,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,AAPL,7,-0.0638184111375621,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,ABT,8,-0.0698663881860802,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
liquid_us_equity_100,momentum_21_top10,14,2022-07-05,CMCSA,9,-0.0845038966334698,2022-06-02,2022-07-05,metrics/screened_candidate_pilot/liquid_us_equity_100/screen_membership.csv
